name,sumid,summass (g),sumreclat,sumreclong,count
Afghanistan,65.78333,12243.00000,299.00000,31.60000,1.00000
Angola,59.63333,43370.00000,32883.00000,-63.00000,4.00000
Albania,,,,,
United Arab Emirates,1544.16950,1413977.00000,4930.00000,639.49534,28.00000
Argentina,-4455.05524,1174307.00000,53859978.10000,-2343.11945,70.00000
Armenia,89.50000,22416.00000,3826.20000,81.41667,2.00000
Antarctica,2292125.20033,419055519.00000,3421225.66000,-1582365.36942,20637.00000
French Southern and Antarctic Lands,,,,,
Australia,83283.10624,12292936.00000,51541946.33000,-19279.05903,638.00000
Austria,90.69582,167378.00000,50043.00000,334.03049,7.00000
Azerbaijan,94.91667,42379.00000,177200.00000,78.68333,2.00000
Burundi,,,,,
Belgium,23.06666,71366.00000,26221.00000,253.29167,5.00000
Benin,,,,,
Burkina Faso,-12.77049,155960.00000,66594.00000,134.86783,11.00000
Bangladesh,630.40000,114862.00000,75009.00000,168.84166,7.00000
Bulgaria,175.68056,151776.00000,137058.15000,303.07973,7.00000
The Bahamas,,,,,
Bosnia and Herzegovina,37.53473,48463.00000,98900.00000,89.01250,2.00000
Belarus,142.51666,82460.00000,1135246.00000,266.44999,5.00000
Belize,,,,,
Bermuda,,,,,
Bolivia,-202.84509,88192.00000,12354.37000,-54.36552,3.00000
Brazil,-2704.31236,1131998.00000,19226212.00000,-1096.59706,58.00000
Brunei,,,,,
Bhutan,,,,,
Botswana,96.54190,122981.00000,14650.00000,-84.35450,4.00000
Central African Republic,16.38333,4928.00000,1000.00000,5.38333,1.00000
Canada,-6008.75819,1138242.00000,1328864.44000,3044.68279,60.00000
Switzerland,60.02512,151088.00000,43142.70000,375.19645,8.00000
Chile,-25185.70202,17956304.00000,6204317.39100,-8955.28784,359.00000
China,11387.45408,2262933.00000,54991134.80000,3538.74663,102.00000
Ivory Coast,,,,,
Cameroon,38.84999,33140.00000,1032.10000,24.01667,3.00000
Democratic Republic of the Congo,104.10000,57790.00000,1579.00000,-11.05000,4.00000
Republic of the Congo,,,,,
Colombia,-149.51000,69143.00000,825478.00000,9.32167,2.00000
Costa Rica,-84.10000,11875.00000,1000.00000,10.00000,1.00000
Cuba,-80.00000,5479.00000,1500.00000,22.00000,1.00000
Northern Cyprus,,,,,
Cyprus,,,,,
Czech Republic,343.40834,492816.00000,320172.56000,1092.39167,22.00000
Germany,465.23724,788534.00000,1951477.50000,2459.80777,48.00000
Djibouti,,,,,
Denmark,43.02111,37657.00000,58220.00000,221.83272,4.00000
Dominican Republic,,,,,
Algeria,1638.65633,6439017.00000,2216225.01000,17056.98739,626.00000
Ecuador,-79.95756,51559.00000,6580.00000,-1.87089,1.00000
Egypt,1215.93371,1295053.00000,1692019.68000,1207.56716,45.00000
Eritrea,,,,,
Spain,-77.74418,520460.00000,893588.00000,1174.95056,29.00000
Estonia,52.68333,42720.00000,51750.00000,116.70000,2.00000
Ethiopia,277.10001,119796.00000,344281.40000,60.71667,7.00000
Finland,288.91666,173304.00000,378122.20000,681.69999,11.00000
Fiji,,,,,
Falkland Islands,,,,,
France,150.10476,1011706.00000,2660982.00000,3322.90216,72.00000
Gabon,,,,,
United Kingdom,-56.11750,331111.00000,271288.00000,1174.74357,22.00000
Georgia,,,,,
Ghana,,,,,
Guinea,,,,,
Gambia,,,,,
Guinea Bissau,,,,,
Equatorial Guinea,,,,,
Greece,23.56667,23501.00000,8500.00000,41.05000,1.00000
Greenland,-141.66667,56785.00000,61388.00000,230.58333,3.00000
Guatemala,-90.50000,5352.00000,5720.00000,14.50000,1.00000
French Guiana,,,,,
Guyana,,,,,
Honduras,-88.68333,22765.00000,2700.00000,14.60000,1.00000
Croatia,48.03333,52182.00000,60708.00000,137.96666,3.00000
Haiti,,,,,
Hungary,138.97499,123176.00000,11626.20000,331.24999,7.00000
Indonesia,1865.09999,296716.00000,1301455.00000,-121.48333,17.00000
India,10603.97189,2092080.00000,1028704.50000,3146.02991,133.00000
Ireland,-47.11666,83006.00000,56201.40000,318.43334,6.00000
Iran,160.91750,93713.00000,57774.00000,99.63716,3.00000
Iraq,134.68223,50296.00000,12000.00000,101.30666,3.00000
Iceland,,,,,
Israel,34.91667,24003.00000,40.00000,29.75000,1.00000
Italy,413.19223,533609.00000,391377.70000,1569.57808,36.00000
Jamaica,-77.63333,14749.00000,20500.00000,17.90000,1.00000
Jordan,35.05000,426.00000,779.00000,29.51667,1.00000
Japan,7107.44672,958110.00000,542753.90000,1874.12421,52.00000
Kazakhstan,985.96830,202037.00000,113203.40000,706.76331,14.00000
Kenya,8104.51769,5650816.00000,24613.82000,-4.73611,227.00000
Kyrgyzstan,73.36667,12253.00000,3500.00000,42.45000,1.00000
Cambodia,210.40000,37662.00000,7896.00000,23.58333,2.00000
South Korea,254.50000,35590.00000,2320.00000,69.80000,2.00000
Kosovo,,,,,
Kuwait,,,,,
Laos,101.63333,5345.00000,367.00000,17.90000,1.00000
Lebanon,35.50000,5035.00000,1100.00000,33.88333,1.00000
Liberia,,,,,
Libya,22461.98583,13469479.00000,1674128.61000,40840.06166,1474.00000
Sri Lanka,80.55000,12235.00000,4000.00000,7.31667,1.00000
Lesotho,56.30000,40732.00000,245300.00000,-59.43333,2.00000
Lithuania,96.40000,78576.00000,48989.00000,222.66667,4.00000
Luxembourg,,,,,
Latvia,70.93333,48318.00000,21263.00000,169.16667,3.00000
Morocco,-1487.47085,4605501.00000,4188398.88000,6474.86126,218.00000
Moldova,,,,,
Madagascar,48.10000,15430.00000,6000.00000,-14.20000,1.00000
Mexico,-9858.80838,1441531.00000,72277398.20000,2366.75271,95.00000
Macedonia,,,,,
Mali,-42.23138,255162.00000,175860.00000,164.42139,8.00000
Malta,,,,,
Myanmar,287.10000,55091.00000,7322.60000,57.97500,3.00000
Montenegro,,,,,
Mongolia,929.62134,161775.00000,994485.90000,405.80017,9.00000
Mozambique,,,,,
Mauritania,-151.58394,433355.00000,287670.40000,284.15949,14.00000
Malawi,205.53722,88034.00000,106696.00000,-78.63833,6.00000
Malaysia,,,,,
Namibia,299.57833,271430.00000,86325023.30000,-431.00000,18.00000
New Caledonia,165.90000,16922.00000,347.00000,-21.73333,1.00000
Niger,296.70709,656174.00000,392282.40000,622.27911,33.00000
Nigeria,170.87498,360465.00000,348043.00000,205.19168,19.00000
Nicaragua,,,,,
Netherlands,14.80000,58257.00000,11880.00000,155.51667,3.00000
Norway,114.99834,218915.00000,108545.80000,683.51499,11.00000
Nepal,,,,,
New Zealand,1386.29360,141489.00000,124200.00000,-336.27473,8.00000
Oman,171540.52048,97478951.00000,6704182.05600,60402.67258,3093.00000
Pakistan,1051.76888,228523.00000,138956.60000,442.08943,15.00000
Panama,,,,,
Peru,-150.27511,68674.00000,144740.00000,-29.19988,2.00000
Philippines,487.88916,59366.00000,901745.00000,54.41000,4.00000
Papua New Guinea,145.36667,12004.00000,7330.00000,-6.03333,1.00000
Poland,413.24455,424836.00000,805428.20000,1139.16273,22.00000
Puerto Rico,,,,,
North Korea,126.91667,23580.00000,101.00000,40.31667,1.00000
Portugal,-48.38361,106043.00000,216635.00000,235.63139,6.00000
Paraguay,-56.50000,24181.00000,0.00000,-25.83333,1.00000
Qatar,50.78333,12292.00000,1500.00000,25.43333,1.00000
Romania,216.53471,185975.00000,374498.00000,414.90834,9.00000
Russia,10096.15265,2531744.00000,32064776.90000,7202.69545,131.00000
Rwanda,29.83333,22780.00000,465.50000,-1.45000,1.00000
Western Sahara,-73.63812,278637.00000,19008.90000,146.09157,6.00000
Saudi Arabia,1545.35829,606338.00000,4172908.39800,659.54787,31.00000
Sudan,216.95608,127349.00000,121617.40000,104.87275,7.00000
South Sudan,94.63333,43066.00000,16555.00000,18.86667,3.00000
Senegal,,,,,
Solomon Islands,,,,,
Sierra Leone,,,,,
El Salvador,,,,,
Somaliland,,,,,
Somalia,135.50000,39318.00000,392000.00000,9.98334,3.00000
Republic of Serbia,82.87500,52366.00000,116127.00000,175.10556,4.00000
Suriname,,,,,
Slovakia,139.44233,157101.00000,284076.00000,343.29501,7.00000
Slovenia,28.24383,105078.00000,8587.00000,92.58381,2.00000
Sweden,1098.11645,3273138.00000,315434.50000,4646.61645,79.00000
Swaziland,31.31667,7755.00000,3230.00000,-27.20000,1.00000
Syria,37.13333,462.00000,3200.00000,36.23333,1.00000
Chad,31.20000,23098.00000,4562.40000,24.08333,2.00000
Togo,,,,,
Thailand,300.28055,70484.00000,43254.00000,49.48833,3.00000
Tajikistan,,,,,
Turkmenistan,357.82667,43204.00000,1111549.10000,241.20611,6.00000
East Timor,,,,,
Trinidad and Tobago,,,,,
Tunisia,359.69055,1651808.00000,81430.00000,1181.10187,36.00000
Turkey,399.64735,211902.00000,218843.00000,502.46500,13.00000
Taiwan,,,,,
United Republic of Tanzania,310.51667,138240.00000,16013984.70000,-61.96668,9.00000
Uganda,227.68944,167117.00000,158578.70000,10.99500,7.00000
Ukraine,1264.39177,545741.00000,1279657.20000,1919.76942,39.00000
Uruguay,-56.00000,4980.00000,80000.00000,-33.00000,1.00000
United States of America,-170817.68999,33893143.00000,90822871.33000,60371.97440,1659.00000
Uzbekistan,127.11702,54546.00000,6300.00000,81.54645,2.00000
Venezuela,-201.67833,65088.00000,84590.00000,25.26667,3.00000
Vietnam,322.35000,61681.00000,24600.00000,36.63334,3.00000
Vanuatu,,,,,
West Bank,,,,,
Yemen,145.63667,60707.00000,11400.00000,47.21111,3.00000
South Africa,1015.25730,609068.00000,2810915.00000,-1238.58080,41.00000
Zambia,27.35000,16733.00000,0.00000,-15.96667,1.00000
Zimbabwe,93.65722,46176.00000,94466.60000,-54.03583,3.00000
